places,placeid,user,userid,ratings
Bouddhanath,18,Ian B,1,4
Bouddhanath,18,Vani W,2,3.5
Bouddhanath,18,Gautam05,3,4.5
Bouddhanath,18,Deepak B,4,3
Bouddhanath,18,Jayesh M,5,3.5
Bouddhanath,18,karranjitsingh,6,4
Bouddhanath,18,im L,7,4
Bouddhanath,18,NepalTourTrek,8,4.5
Bouddhanath,18,john henry,9,5
Bouddhanath,18,drleemac,10,3.5
Bouddhanath,18,Alice B,11,4
Bouddhanath,18,downhillcyclist,12,4
Bouddhanath,18,SUNU PO,13,4
Bouddhanath,18,annminky,14,4
Bouddhanath,18,tarit1979,15,4.5
Bouddhanath,18,SirZec,16,4
Bouddhanath,18,Kumar H,17,4
Bouddhanath,18,Jacob M,18,4
Bouddhanath,18,G RAJENDRAN,19,5
Bouddhanath,18,ratu b,20,4.5
Bouddhanath,18,Cindy W,21,5
Bouddhanath,18,omaryelias,22,5
Bouddhanath,18,Suva Tours and Travels Pvt.Ltd,23,5
Bouddhanath,18,cmarcov,24,4.5
Bouddhanath,18,Toru O,25,4
Bouddhanath,18,smvNYC,26,4
Bouddhanath,18,Hong Leung,27,3.5
Bouddhanath,18,Harappa Tour & Travel,28,3.5
Bouddhanath,18,Sameer G,29,4
Bouddhanath,18,latikabishnoi02,30,4.5
Pashupatinath Temple,87,SUNU PO,13,4
Pashupatinath Temple,87,annminky,14,4.5
Pashupatinath Temple,87,Gunti,31,3
Pashupatinath Temple,87,Sanjay,32,3.5
Pashupatinath Temple,87,tarit1979,15,3
Pashupatinath Temple,87,Yogesh L,33,3
Pashupatinath Temple,87,Tom B,34,5
Pashupatinath Temple,87,MEG,35,4.5
Pashupatinath Temple,87,Kumar H,17,4
Pashupatinath Temple,87,maccer j,36,5
Pashupatinath Temple,87,lynne A,37,3
Pashupatinath Temple,87,Gautam05,3,3.5
Pashupatinath Temple,87,Jayesh M,5,4
Pashupatinath Temple,87,K Niaz Morshed,38,4.5
Pashupatinath Temple,87,Wen A,39,5
Pashupatinath Temple,87,Ganesh Srinivasan,40,5
Pashupatinath Temple,87,downhillcyclist,12,5
Pashupatinath Temple,87,annminky,14,4
Pashupatinath Temple,87,Gunti,31,4
Swayambhunath Temple,101,Mags,41,4.5
Swayambhunath Temple,101,James H,42,4.5
Swayambhunath Temple,101,annminky,14,5
Swayambhunath Temple,101,taylor m,43,5
Swayambhunath Temple,101,Eva H,44,3.5
Swayambhunath Temple,101,Tom B,34,3.5
Swayambhunath Temple,101,Adele T,45,3
Swayambhunath Temple,101,michaeltravelssome,46,3
Swayambhunath Temple,101,Ramakrishna Alur,47,4
Swayambhunath Temple,101,Jacob M,18,4
Swayambhunath Temple,101,Rajendra K,48,4
Swayambhunath Temple,101,TR@VIS SC0TT,49,4.5
Swayambhunath Temple,101,Rk Singh,50,4.5
Swayambhunath Temple,101,Sgrg069,51,4.5
Swayambhunath Temple,101,Michelle S,52,3
Swayambhunath Temple,101,Gautam05,3,3.5
Swayambhunath Temple,101,Jayesh M,5,3.5
Swayambhunath Temple,101,Steffanie D,53,3.5
Swayambhunath Temple,101,im L,7,3.5
Swayambhunath Temple,101,Ganesh Srinivasan,40,4
Thamel,106,Fazal Mahmud Roni,54,3
Thamel,106,brian r,55,3
Thamel,106,Global823893,56,3
Thamel,106,Beses NRN,57,3.5
Thamel,106,SUNU PO,13,3.5
Thamel,106,VineNFigTree,58,4
Thamel,106,tarit1979,15,4
Thamel,106,annminky,14,4.5
Thamel,106,Austin F,59,4.5
Thamel,106,cmarcov,24,4.5
Thamel,106,VineNFigTree,58,3
Thamel,106,annminky,14,3
Thamel,106,Austin F,59,3.5
Thamel,106,smvNYC,26,3.5
Thamel,106,Jhon S,60,3.5
Thamel,106,angelarK8845KX,61,4.5
Kathmandu Durbar Square,59,downhillcyclist,12,5
Kathmandu Durbar Square,59,annminky,14,5
Kathmandu Durbar Square,59,tarit1979,15,4.5
Kathmandu Durbar Square,59,Tom B,34,4.5
Kathmandu Durbar Square,59,ratu b,20,4.5
Kathmandu Durbar Square,59,Max W,62,4.5
Kathmandu Durbar Square,59,MalawiExpat,63,4
Kathmandu Durbar Square,59,Ishan R,64,4
Kathmandu Durbar Square,59,Sharma Ji,65,4
Kathmandu Durbar Square,59,cmarcov,24,4
Kathmandu Durbar Square,59,Michelle S,52,4.5
Kathmandu Durbar Square,59,Gautam05,3,3
Kathmandu Durbar Square,59,Jayesh M,5,3.5
Kathmandu Durbar Square,59,Fazal Mahmud Roni,54,3.5
Kathmandu Durbar Square,59,Pinkroseann,66,3.5
Kathmandu Durbar Square,59,pathfinndr,67,4
Kathmandu Durbar Square,59,Hilary H,68,4.5
Kathmandu Durbar Square,59,downhillcyclist,12,4.5
Kathmandu Durbar Square,59,annminky,14,4.5
The Crematoria,108,John W,69,0
The Crematoria,108,Carolyn W,70,1
The Crematoria,108,Rajendra K,48,0
The Crematoria,108,smvNYC,26,1
The Crematoria,108,L Pearce,71,0
The Crematoria,108,DiMka's_way,72,0
The Crematoria,108,heffflump,73,0
The Crematoria,108,Kevin B,74,0
The Crematoria,108,Greg W,75,1
The Crematoria,108,Fraser & Patrick,76,1
The Crematoria,108,Carolyn W,70,1
The Crematoria,108,Rajendra K,48,1
The Crematoria,108,DiMka's_way,72,1
The Crematoria,108,Greg W,75,0
The Crematoria,108,Fraser & Patrick,76,0
Kapan Monastery,55,Yujin L,77,4
Kapan Monastery,55,ÃÂÃÂ»ÃÂµÃÂºÃ‘ÂÃÂµÃÂ¹,78,4.5
Kapan Monastery,55,loo c,79,4.5
Kapan Monastery,55,Rahul G,80,4.5
Kapan Monastery,55,Shivi G,81,4
Kapan Monastery,55,Sightsee737349,82,4
Kapan Monastery,55,Robert W,83,3.5
Kapan Monastery,55,SF Guy,84,3.5
Kapan Monastery,55,Manoj S,85,4
Kapan Monastery,55,Rohit Chugh,86,4
Kapan Monastery,55,ÐÐ»ÐµÐºÑÐµÐ¹,87,5
Kapan Monastery,55,Sightsee737349,82,5
Kapan Monastery,55,Robert W,83,4.5
Garden of Dreams,37,John W,69,3
Garden of Dreams,37,downhillcyclist,12,3.5
Garden of Dreams,37,Carolyn W,70,4
Garden of Dreams,37,MichelleI_11,88,4
Garden of Dreams,37,SUNU PO,13,4
Garden of Dreams,37,Anurada D,89,4.5
Garden of Dreams,37,Tom B,34,4.5
Garden of Dreams,37,Rafael H,90,4
Garden of Dreams,37,Daniel Santos,91,3
Garden of Dreams,37,ratu b,20,3
Garden of Dreams,37,Michelle S,52,3
Garden of Dreams,37,Hilary H,68,3
Garden of Dreams,37,John W,69,3
Garden of Dreams,37,MichelleI_11,88,4.5
Garden of Dreams,37,Anurada D,89,4.5
Garden of Dreams,37,Rafael H,90,5
Chandragiri Hills,28,James H,42,5
Chandragiri Hills,28,tarit1979,15,5
Chandragiri Hills,28,ratu b,20,5
Chandragiri Hills,28,smvNYC,26,4.5
Chandragiri Hills,28,Mahmudul H,92,4.5
Chandragiri Hills,28,ravikhorana,93,4.5
Chandragiri Hills,28,DUGUÃƒâ€° H,94,4
Chandragiri Hills,28,Vishva_71,95,4
Chandragiri Hills,28,pepeto,96,4
Chandragiri Hills,28,kok,97,5
Chandragiri Hills,28,Chris_atc,98,5
Chandragiri Hills,28,Satish Joshi,99,4.5
Chandragiri Hills,28,James H,42,4.5
Chandragiri Hills,28,ratu b,20,3.5
Chandragiri Hills,28,DUGUÃ‰ H,100,4.5
Budhanilkantha,21,Rajendra K,48,4.5
Budhanilkantha,21,Sneha Prakash M,101,5
Budhanilkantha,21,Isabella S,102,5
Budhanilkantha,21,stroller,103,4
Budhanilkantha,21,Rahul G,80,4
Budhanilkantha,21,Sivakumar V,104,4
Budhanilkantha,21,Kamal (Singh) Thapa,105,4.5
Budhanilkantha,21,Vince E,106,3.5
Budhanilkantha,21,Leanne D,107,3.5
Budhanilkantha,21,Jayesh M,5,3.5
Budhanilkantha,21,Isabella S,102,4
Budhanilkantha,21,Sivakumar V,104,4
Budhanilkantha,21,Kamal (Singh) Thapa,105,5
Hanuman Dhoka,43,Jhon S,60,5
Hanuman Dhoka,43,AMAR S,108,5
Hanuman Dhoka,43,Dom,109,4
Hanuman Dhoka,43,fishfaceNorfolk,110,4
Hanuman Dhoka,43,Jalal Iqbal,111,4
Hanuman Dhoka,43,Suman_Manandhar,112,4.5
Hanuman Dhoka,43,BholaBanstola,113,4.5
Hanuman Dhoka,43,JiaJia,114,4.5
Hanuman Dhoka,43,barcaranger,115,4
Hanuman Dhoka,43,bojfilzagreb,116,4
Hanuman Dhoka,43,AMAR S,108,4
Hanuman Dhoka,43,Dom,109,4
Hanuman Dhoka,43,BholaBanstola,113,3.5
Hanuman Dhoka,43,barcaranger,115,4
Hanuman Dhoka,43,Ponceau E,117,4
Hanuman Dhoka,43,kirog,118,3.5
Hanuman Dhoka,43,Eimer H,119,3
Hanuman Dhoka,43,Ajay K,120,3
Hanuman Dhoka,43,Charlotte P,121,3
Hanuman Dhoka,43,Harriet A,122,3
Hanuman Dhoka,43,Tuyen N,123,4
Hanuman Dhoka,43,Estele R,124,4
Hanuman Dhoka,43,Johan F,125,4
Hanuman Dhoka,43,Vania M,126,4
Himalayan Yoga Association,46,Ponceau E,117,4
