,Place,Categories,Rating,Review Title,Review Body
0,Bouddhanath,Religious Sites,4.5,Largest Stup,"Try to stay a little bit longer in outside after visiting the inner parts, while sipping a coffee from a small cafe. Morning time is the best time for photo or slow motion video when the birds suddenly swing."
1,Bouddhanath,Religious Sites,4.5,Giant Monastery,"A large stupa. Walked around to see the entire stupa. Shops all around, plus rooftop restaurants to enjoy the view. Another place to visit in Kathmandu."
2,Bouddhanath,Religious Sites,4.5,The largest stupa in the world,It is an ethereal sight the Boudhnath Stupa. Its imposing structure could be seen from our hotel and we visited in the afternoon. It is a bustling place full of devotees and a market selling virtually everything. Take a leisurely darshan and get some souvenirs for your loved ones from there.
3,Bouddhanath,Religious Sites,4.5,Surrounding has been changed since my last visit,It is an amazing spiritual site in Kathmandu. Excellent work of arts and crafts. People are really cool. Not very far from the valley. Must visit places indeed!!
4,Bouddhanath,Religious Sites,4.5,My experience with Kailash Jurneys,nice place with historical and spiritual blend. well designed stupa with lot of tranquility. Very relaxing place
5,Bouddhanath,Religious Sites,4.5,Religious place,"Boudha nath stupa one of the best religious place most of boudha religious visit here, center of Kathmandu,clean and nice when visit Nepal I will visit always."
6,Bouddhanath,Religious Sites,4.5,Best place to visit in kathmandu,"one of the most famous place for tourist in kathmandu. Boudhanath Stupa,meany Buddhist making round at the stupa, Its beautiful stupa, when there full moon is best time to visit around at night time just love it"
7,Bouddhanath,Religious Sites,4.5,Must seek,Must visit to know about historical exposure also Buddhism well designed the building unable to see what is inside is not allowed
8,Bouddhanath,Religious Sites,4.5,great energy,eventhough there many stupas in Kathmandu but each stupa still has its beauty and special part.strong energy
9,Bouddhanath,Religious Sites,4.5,The place to go,This is a need for me. This place is so special to me. Doing Kora or not . I really enjoy just being there. Having a coffee or lunch at Roadhouse cafe with view on the Stupa! Even
10,Swayambhunath Temple,Religious Sites,4.5,Interesting Temple,Unless youre an expert In Buddhist and Hindu culture you should hire a guide.  We enjoyed our guide from Nepal Treks and tour.
11,Swayambhunath Temple,Religious Sites,4.5,Temple visit,"One of the Kathmandu highlights for history, culture and color, also nice views.  At least 1 hour but you can spend more time easily"
12,Swayambhunath Temple,Religious Sites,4.5,Simply awesome!,"I arrived here early in the morning, so there were less people. It is a historical place, and a UNESCO site. So much to see. Lots of stray dogs, vendors and trash. Although, the little annoyance are in the way, I think its a beautiful place to view one of the stupas. I think people should be mindful of the plenty of monkeys around. The view of the valley from this place is absolutely stunning. There are shops inside and stores with paintings. I bought a painting made by one of the grand master. The prayer flags and prayer wheels added beauty to this place. When in Nepal, make time to visit."
13,Swayambhunath Temple,Religious Sites,4.5,Amazing place,"Located in middle of kathmandu, It is the amazing place to view the beautiful valley. You may find lots of monkey there."
14,Swayambhunath Temple,Religious Sites,4.5,It is must visited place,"I went there for just 1 hour and I was thinking nothing is there but when I reach there, I was surprised. it is the best to place to enjoy seeing Kathmandu valley, and sunset and there are a lot of monkey too"
15,Swayambhunath Temple,Religious Sites,4.5,A must while in Kathmandu - but beware of the stairs!,Climbing up past monkeys to reach the top and be greeted by an epic stupa is something Id recommend to anyone visiting Kathmandu. Fun to see monkeys anyway and the panoramic views from the top are amazing. Make sure to go past the stupa to the other side of the hill to see even more views and more interesting Nepalese architecture
16,Swayambhunath Temple,Religious Sites,4.5,best place,"We had been there during our Kathmandu stay, this is one of the best places if you are not scared of amounts of money."
17,Swayambhunath Temple,Religious Sites,4.5,More fun than Everest!,"Seriously, if you love monkeys you will love your visit. We had an amazing time. In fact, I put this right up there with my 2 days spent at the Everest View Hotel.  I mean, whats better than hanging out with more than 100 monkeys?"
18,Swayambhunath Temple,Religious Sites,4.5,Monkey Temple Visit,Nice place to visit. You will definitely LOVE this place. Lots of Monkeys and hence called Monkey temple. Dont carry water or Coke bottles. These monkeys will snatch it away in a Jiffy. We saw it really happening and a funny memorable experience.
19,Swayambhunath Temple,Religious Sites,4.5,Great place,"It was a great, beautiful, historic & religious place. One of the most popular place in kathmandu. Crowded by visitors from all around the world. The view point will amazing with beautiful scenic of Kathmandu valley. You'll be a happy there. Saw many monkeys."
20,Pashupatinath Temple,Religious Sites,4.5,Interesting Cremation Temple,"you can see from the opposite sides, the process when the departed arrives since all the family & relatives give their last prayer before cremation."
21,Pashupatinath Temple,Religious Sites,4.5,Peaceful place,"This is an interesting place to visit while in Nepal. I learned a lot about Hindu culture and especially how they honor the last day of their beloved who passed away. They have to perform certain rituals before theyre cremated. Loved ones are there and assisting to finalize the cremation. People can watch from the other side of the river. The temple is a beautiful site, I think its perfect for the ones who are gone.  I say bring a mask if you cant stand the scent of the smoke. Prayers to all who passed."
22,Pashupatinath Temple,Religious Sites,4.5,Old Best Hindu temple,Best place nearby international airport Hindu temple old temple and you can see cremation of Hindu culture Best for history culture and religion.
23,Pashupatinath Temple,Religious Sites,4.5,Pashupatinath visit in October 2022,Pashupatinath temple is among the 12 jyotirlinga.  Beautiful temple and must visit if you are in Kathmandu.  As the temple opens at around 4am best time is to visit at that time as it is completely empty. It closes at 7pm that is after the aarti. After 6am it starts getting crowded.
24,Pashupatinath Temple,Religious Sites,4.5,One of the finest temples of Lord Shiva,We went there twice on our trip. The first time due to a heavy rush on Monday we could not have proper darshan of Mahadev but compensated that with a beautiful darshan on Friday morning. Please be aware that there are huge crowds on Monday and Saturday so prepare accordingly. Also the temple remains closed in the afternoon from 12-5 and is open in the evening only from 5-6.30. Also  be careful of the monkeys. But do visit the other small temples near the main shrine.
25,Pashupatinath Temple,Religious Sites,4.5,The Great HINDU Temple,Wonderful holy temple in Kathmandu - just a mile away from the Airport and gets crowded many times during peak morning and evening hours.Have been visiting the temple year after year and the glory of the deity and the premises is intact.Cleanliness needs some improvement.
26,Pashupatinath Temple,Religious Sites,4.5,Extremely interesting,A truly interesting experience. Live cremations happening right on the river and a huge complex of temples to see. We picked up a tour guide (somewhat unexpectedly - he just started talking to us!) but he was actually super informative and very interesting (ended up costing ~$30 which felt a bit steep though). Definitely worth a visit!
27,Pashupatinath Temple,Religious Sites,4.5,Solo female foreign travellers be aware,"Sadly did not get to have a look.Was dropped off by a lovely taxi, then proceeded to be followed by 4 men. As a foreign, solo 50yo female tourist I had to take evasive action to keep myself and my belongings safe. It is locally known of bag theft, pick pocketing (found out afterwards). Lucky some Hindu ladies seen how distressed I was and stayed with me until a taxi came. From discussions with locals it is common but goes unreported.In my experience I would NOT recommend females to visit here alone."
28,Pashupatinath Temple,Religious Sites,4.5,kailash journeys,Must visit temple for Hindus. Lord Siva with five mukhas. Amazing temple which transcends time. Felt lucky to be visiting.
29,Pashupatinath Temple,Religious Sites,4.5,nice place in kathmandu,it is one of the best spiritual place to visit in Kathmandu. it is really different experience to be there and see all death ceremony of Hindu people.
30,Chandragiri Hills,Mountains,4.5,great Gondola ride for views near Kathmandu,Beautiful new gondola to hilltop and very nice Himalayan range views including top of Mt Everest.  Adequate nice restaurant at top.
31,Chandragiri Hills,Mountains,4.5,One of the best tourist places in Kathmandu,"Chandragiri Hills is a very well maintained property slightly away from the city but worth a visit. The ropeway offers breathtaking views and the temple of Mahadev above is beautiful. You can do zip lining, view the Everest through telescope and your child can play in the playzone. There are numerous food options. Pls remember that the ropeway is non operational between 12-1 pm and 4-5 pm."
32,Chandragiri Hills,Mountains,4.5,great energy,"taking trips with alphine club of himalaya  who arrange the trip to chandragiri hills , taking cable car vv seeing the beautiful temple up there and tried the local food momo"
33,Chandragiri Hills,Mountains,4.5,Breathtaking views!,"The ride up in the cable car is exhilarating! Even more rewarding was being able to see the Himalayas, including Everest!"
34,Chandragiri Hills,Mountains,4.5,High way to Heaven,"Its was an amazing experience climbing up to 9000 feet ! It was so cloudy and cold weather up there. The cable car, zip line and amazing view around amused us so much !"
35,Chandragiri Hills,Mountains,4.5,Great Ropeway!,Ropeway with unending trolleys! Goes 4000 feet up in 12 minutes. Good Lord Shiva Temple in the clouds.
36,Chandragiri Hills,Mountains,4.5,Promenade,We went there on a cloudy morning but the experience was nice and the view's still worth it. The site is clean.
37,Chandragiri Hills,Mountains,4.5,Amazing experience,"Wonderful stay with cloud cover, heavy rain, misty wind and chilling weather. Cable car ride with elevation of 2500ft and ancient temple."
38,Chandragiri Hills,Mountains,4.5,Beautiful location,"360 degree view and I had 4 seasons in one hour, at the base station it was 23 degrees after reaching the hill were 12 degrees and finished with 10 cm snow at the top after 1 hour. It was an unforgettable experience."
39,Chandragiri Hills,Mountains,4.5,Best trip organized by trekkers home in thamel,We are 6 altogether and stayed at hotel trekkers home in thamel. Trekkers home team organized the day tour for us only at 2000 per person. Good team organized the trip very efficiently. Will definitely choose trekkers home team for our next trekking in coming days.
40,Kopan Monastery,Religious Sites,4.5,monastery out of bounds,"the monastery is beautiful, however, it can only be viewed from outside. Only monks and pupils are allowed to go in. Though it is a shame about the monastery, you can go for a hike to nearby Gokarneshwar and other areas which are nearby."
41,Kopan Monastery,Religious Sites,4.5,Beautiful inside but not allowed to enter,"Don't waste your time it's closed for visitors, only monks and pupils studying at school. Construction works going on along side"
42,Kopan Monastery,Religious Sites,4.5,Good place to Hike,stunning place to explore around if you are in Kathmandu. If you are looking for small hike around the Kathmandu then this could be the best for you to explore around
43,Kopan Monastery,Religious Sites,4.5,visit to Kopan,"amazing monastery. brings glimpses of old time. great art and architecture. blissful and serene place for blessings of the lord. monks are very courteous and kind. even in the times of covid, it is open for blessing seekers."
44,Kopan Monastery,Religious Sites,4.5,Love this spot.,"Lovely and peaceful place, you can do mediation out there, at least to spend 2 to 3 hours at this attraction. it is one of the major attractions in Kathmandu."
45,Kopan Monastery,Religious Sites,4.5,Beautiful Monastery,Nepal is the land of Buddha and this is one of the many monasteries of Nepal . Its very beautiful. Must visit place highly recommended
46,Kopan Monastery,Religious Sites,4.5,"place for peace, chanting heaven","excellent place, excellent peace of mind.... When we feel some disturb  from the hectic schedule, highly recommended to this place."
47,Kopan Monastery,Religious Sites,4.5,Remarkable Cultural Experience,This monastery is very peaceful and the great prayer hall is a sight to behold especially during the religious devotionals. A great monument to Tibetan Buddhism.
48,Kopan Monastery,Religious Sites,4.5,A peaceful and restful place,"As soon as one enters the monastery, one can easily feel the positive vibration emanated there.My guide show me the way to salute and the significance of the statues."
49,Kopan Monastery,Religious Sites,4.5,Calm and quite place...,We visited the kopan monastery on our way back from the sleeping Vishnu temple ( Buddha nilkantha ) . It's a very quite place and that's how it should be. Serene beauty with a lot of things to learn about Buddhism here. If u are an adventure freak then this is not a place for you. This place is for those who want to take a step towards meditation and peace .
50,Thamel,Neighborhoods,4,City Center,For one or two night is fine. Not Much. It is city center Area for buying trekking gears with many hotels and restaurants
51,Thamel,Neighborhoods,4,most busy mountain tourist area,"from the mountaineering gear until clubs are here, lots of restaurant & coffee shops, also souvenirs shops. just prepare your money and be ready to buy a new bag/luggage."
52,Thamel,Neighborhoods,4,Walking Streets gone from Thamel! Vehicles and hoards of speeding motorcycles are back!,"Currently, Sep-Oct2022, vehicle traffic in Thamel is once again loud, crowded, fast and dangerous, particularly the motorcycles.In 2017, Walking Streets were established in several parts of Thamel. That was a long time coming and long overdue. It greatly added to the attractiveness and pleasantness for tourists and businesses alike. (see my review, April 2018).Now, post - Covid, the walking streets have disappeared and the traffic is a horrible insane mess. Other tourists are similarly disappointed. Please! Restore the sanity!I have been coming to Nepal for over 30 years. I now normally come here twice a year as a tourist, usually for a month or more each time. But this trip was an unenjoyable and intolerable experience because of the traffic volume and noise! I could hardly wait to take my flight out of the craziness. I wonder if I will return, unless the situation improves."
53,Thamel,Neighborhoods,4,A disappointing visit,We had heard glowing revies of this place as the party capital of Kathmandu but were disappointed. The market was also catering mainly to trekkers. There were many ppl there who looked shady and certainly did not feel safe.
54,Thamel,Neighborhoods,4,Another interesting place to visit in Nepal,"Thamel is the place to go if you want to see lots of interesting shops and restaurants. A hub of where travelers go to buy outfits to wear mountain trekking. I went here to check out Pilgrims Bookstore and to purchase cashmere scarves. The streets are narrow, so be careful when walking and enjoying this place, as there are motorists. The shop owners are friendly and truly enjoy your business.If you like handicrafts, beads and singing bowls, this is the place to go"
55,Thamel,Neighborhoods,4,"Frys the nerves, but has amenities","30 years ago this place and Freak Street must have been great with only bicycles.  Now it just frys the nerves.  Walking around Thamel I feel like I'm a pin at a bowling alley.  The narrow roads put you inches from motos zipping by, and horrible exhaust makes you want to wear a gas mask.  Honking horns and hawkers in your face (my friend, my friend, where are you from) add to the ""get me out of here"" ambience. There is a street that is pedestrian only, but that just makes the fewer motos that go down the street that much crazier/faster.  They need to make the whole area truly pedestrian.  Still, Thamel has the best food in Kathmandu."
